City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
0,Arraial Do Cabo,BR,-22.9661,-42.0278,91.4,57,0,20.71,clear sky,2021-01-28 20:07:50
1,Krasnoselkup,RU,65.7,82.4667,-32.85,80,100,14.83,overcast clouds,2021-01-28 20:13:52
2,Punta Arenas,CL,-53.15,-70.9167,48.2,57,75,23.02,broken clouds,2021-01-28 20:07:58
3,Novyy Urengoy,RU,66.0833,76.6333,-32.08,83,100,11.21,overcast clouds,2021-01-28 20:10:53
4,Nevers,FR,46.9167,3.3333,53.6,94,75,12.66,broken clouds,2021-01-28 20:13:53
5,Khatanga,RU,71.9667,102.5,-40.27,75,0,3.51,clear sky,2021-01-28 20:12:35
6,Kavieng,PG,-2.5744,150.7967,82.83,76,59,9.37,broken clouds,2021-01-28 20:13:00
7,Kurumkan,RU,54.3,110.3,-20.56,78,100,4.0,overcast clouds,2021-01-28 20:13:53
8,Kapaa,US,22.0752,-159.319,75.2,78,75,17.27,broken clouds,2021-01-28 20:12:02
9,Kijang,KR,35.2442,129.2139,24.8,33,0,14.97,clear sky,2021-01-28 20:13:54
10,Bredasdorp,ZA,-34.5322,20.0403,59.0,72,5,1.14,clear sky,2021-01-28 20:13:54
11,Taksimo,RU,56.3444,114.8794,-30.98,76,99,1.54,overcast clouds,2021-01-28 20:13:54
12,Ushuaia,AR,-54.8,-68.3,46.4,71,40,25.32,light rain,2021-01-28 20:12:43
13,Hilo,US,19.7297,-155.09,75.2,69,75,5.75,light rain,2021-01-28 20:12:14
14,Rikitea,PF,-23.1203,-134.9692,79.68,68,89,6.31,overcast clouds,2021-01-28 20:13:54
15,Albany,US,42.6001,-73.9662,24.01,48,36,5.01,scattered clouds,2021-01-28 20:13:54
16,Hobart,AU,-42.8794,147.3294,59.0,55,75,11.5,broken clouds,2021-01-28 20:12:09
17,Jinchang,CN,38.4953,102.1739,24.39,64,0,5.03,clear sky,2021-01-28 20:10:22
18,Ribeira Grande,PT,38.5167,-28.7,64.4,88,75,28.77,broken clouds,2021-01-28 20:09:18
19,Yellowknife,CA,62.456,-114.3525,-22.0,69,75,4.61,light snow,2021-01-28 20:13:55
20,Barrow,US,71.2906,-156.7887,-11.2,77,90,9.22,overcast clouds,2021-01-28 20:08:05
21,Cabatuan,PH,10.8794,122.486,72.64,88,47,13.73,scattered clouds,2021-01-28 20:13:55
22,Sitka,US,57.0531,-135.33,32.0,59,75,5.75,broken clouds,2021-01-28 20:13:56
23,Calama,CL,-22.4667,-68.9333,75.2,13,0,23.02,clear sky,2021-01-28 20:13:56
24,Manggar,ID,-2.8833,108.2667,77.07,88,99,8.72,overcast clouds,2021-01-28 20:13:07
25,Umm Lajj,SA,25.0213,37.2685,70.59,59,44,7.43,scattered clouds,2021-01-28 20:13:56
26,Leningradskiy,RU,69.3833,178.4167,-21.51,85,49,3.62,scattered clouds,2021-01-28 20:13:56
27,Mar Del Plata,AR,-38.0023,-57.5575,82.4,44,75,8.05,broken clouds,2021-01-28 20:08:39
28,Caravelas,BR,-17.7125,-39.2481,81.34,67,72,8.72,broken clouds,2021-01-28 20:13:56
29,Skelleftea,SE,64.7507,20.9528,5.0,92,37,5.75,scattered clouds,2021-01-28 20:13:56
30,Cayenne,GF,4.9333,-52.3333,84.2,65,75,10.36,broken clouds,2021-01-28 20:12:24
31,Puerto Ayora,EC,-0.7393,-90.3518,84.2,70,20,13.8,light rain,2021-01-28 20:13:57
32,Jamestown,US,42.097,-79.2353,17.01,79,90,17.27,light snow,2021-01-28 20:10:10
33,San Patricio,US,28.017,-97.5169,62.6,48,1,9.22,clear sky,2021-01-28 20:13:57
34,Yulin,CN,22.6333,110.15,56.14,47,34,5.46,scattered clouds,2021-01-28 20:13:57
35,Lerdo,MX,25.5333,-103.5333,68.0,28,75,4.61,broken clouds,2021-01-28 20:13:57
36,Gat,IL,31.61,34.7642,52.0,100,1,3.0,clear sky,2021-01-28 20:13:03
37,Sisimiut,GL,66.9395,-53.6735,9.99,79,0,10.87,clear sky,2021-01-28 20:13:57
38,Saskylakh,RU,71.9167,114.0833,-42.3,79,43,4.09,scattered clouds,2021-01-28 20:09:13
39,Necochea,AR,-38.5473,-58.7368,75.0,52,100,4.0,overcast clouds,2021-01-28 20:13:58
40,Severo-Kurilsk,RU,50.6789,156.125,27.72,94,59,13.8,light snow,2021-01-28 20:13:31
41,Maues,BR,-3.3836,-57.7186,80.31,93,100,3.36,overcast clouds,2021-01-28 20:13:58
42,Mataura,NZ,-46.1927,168.8643,48.0,80,87,8.01,overcast clouds,2021-01-28 20:08:12
43,Aklavik,CA,68.2191,-135.0107,-23.8,69,40,5.75,scattered clouds,2021-01-28 20:13:58
44,Yuryuzan,RU,54.8633,58.4219,23.29,90,100,4.52,overcast clouds,2021-01-28 20:13:59
45,Sattahip,TH,12.6664,100.9007,75.2,94,20,4.61,few clouds,2021-01-28 20:13:59
46,Busselton,AU,-33.65,115.3333,63.0,77,0,13.11,clear sky,2021-01-28 20:13:59
47,Chokurdakh,RU,70.6333,147.9167,-18.65,88,100,7.36,overcast clouds,2021-01-28 20:13:59
